Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3/5/26,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1""","1-1/2"""
3/12/26,"1-1/2""","1-1/2""","1-1/2""","1-3/8""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1""","1-1/2"""
3/19/26,"1-1/2""","1-3/8""","1-1/2""","1-3/8""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","3/4""","1""","1-1/2"""
3/24/26,"1-1/2""","1-3/8""","1-1/2""","1-1/2""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-1/2""","1-1/2""","3/4""","1""","1-1/2"""
4/6/26,"1-1/4""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/4""","1-3/4""","1-1/4""","1-1/4""","1-1/4""","1-3/8""","1-1/2""","1-1/4""","1-1/4""","1-3/4"""
4/8/26,"1-1/4""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/4""","1-3/4""","1-1/4""","1-1/4""","1-1/4""","1-3/8""","1-1/2""","1-1/4""","1-1/4""","1-3/8"""
4/16/26,"1-1/2""","1-1/4""","1-1/4""","1-1/2""","1-5/8""","1-1/4""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-3/8""","1-1/4""","1-1/2""","1-3/16""","1-3/16""","1-1/2"""
4/23/26,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","2""","1-1/4""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/4""","1-5/8""","1-1/4""","1-1/4""","1-3/4"""
4/29/26,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","1-1/4""","1-1/4""","1-3/4""","1-1/2""","1-1/2""","1-1/2""","1-1/4""","1-3/4""","1""","1-1/4""","1-3/4"""
5/5/26,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","2""","1-1/4""","1-1/4""","2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","2""","1""","1-1/4""","2"""
5/13/26,"1-1/2""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/8""","1-1/2""","1""","1-3/8""","1-1/2"""
5/20/26,"1-1/2""","1""","1""","1-1/2""","1-1/2""","1-1/4""","1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-1/4""","1""","1-1/2""","1""","1-1/2""","1-1/2"""
6/1/26,"1-1/2""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-1/4""","1-1/8""","1-3/8""","1-1/8""","1-1/2""","1-5/8"""
6/9/26,"1-1/2""","1-1/8""","1-1/8""","1-3/4""","1-1/2""","1-1/2""","1-5/8""","1-3/8""","1-1/2""","1-3/8""","1-3/8""","1-1/8""","1-5/8""","1-1/8""","1-1/2""","1-3/4"""
