Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3/12/2026,"1-1/2""","1-1/2""","1-1/2""","1-3/8""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1""","1-1/2"""
3/19/2026,"1-1/2""","1-3/8""","1-1/2""","1-3/8""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","3/4""","1""","1-1/2"""
3/24/2026,"1-1/2""","1-3/8""","1-1/2""","1-1/2""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-1/2""","1-1/2""","3/4""","1""","1-1/2"""
4/6/2026,"1-1/4""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/4""","1-3/4""","1-1/4""","1-1/4""","1-1/4""","1-3/8""","1-1/2""","1-1/4""","1-1/4""","1-3/4"""
4/8/2026,"1-1/4""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/4""","1-3/4""","1-1/4""","1-1/4""","1-1/4""","1-3/8""","1-1/2""","1-1/4""","1-1/4""","1-3/8"""
4/16/2026,"1-1/2""","1-1/4""","1-1/4""","1-1/2""","1-5/8""","1-1/4""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-3/8""","1-1/4""","1-1/2""","1-3/16""","1-3/16""","1-1/2"""
4/23/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","2""","1-1/4""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/4""","1-5/8""","1-1/4""","1-1/4""","1-3/4"""
4/29/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","1-1/4""","1-1/4""","1-3/4""","1-1/2""","1-1/2""","1-1/2""","1-1/4""","1-3/4""","1""","1-1/4""","1-3/4"""
5/5/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","2""","1-1/4""","1-1/4""","2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","2""","1""","1-1/4""","2"""
5/13/2026,"1-1/2""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/8""","1-1/2""","1""","1-3/8""","1-1/2"""
5/20/2026,"1-1/2""","1""","1""","1-1/2""","1-1/2""","1-1/4""","1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-1/4""","1""","1-1/2""","1""","1-1/2""","1-1/2"""
6/1/2026,"1-1/2""","1-1/8""","1-1/8""","1-1/2""","1-3/4""","1-1/4""","1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-1/4""","1-1/8""","1-3/8""","1-1/8""","1-1/2""","1-5/8"""
6/9/2026,"1-1/2""","1-1/8""","1-1/8""","1-3/4""","1-1/2""","1-1/2""","1-5/8""","1-3/8""","1-1/2""","1-3/8""","1-3/8""","1-1/8""","1-5/8""","1-1/8""","1-1/2""","1-3/4"""
